time,ax,ay,az,yaw ,acc,velo,dist
8.471,0.0686,-0.256725,9.8804,190.2309,-0.35889260345061,53.9617990036151,12559.0880955312
8.514,0.1093,-0.65142,9.7343,190.3705,-0.417398082760488,53.3487471006012,12612.4368426318
8.557,0.241,-0.38619,10.4035,190.517,-0.41115646620839,52.7419368141393,12665.1787794459
8.6,-0.3157,-2.11953,11.3444,190.6881,-0.752831172966712,51.7934518209191,12716.9722312668
8.643,-0.1481,2.000775,9.4985,190.8145,-0.20210993837337,51.3956880622923,12768.3679193291
8.686,-0.0714,-0.532035,9.5117,190.9655,-0.268094950698696,50.9319392913401,12819.2998586205
8.729,0.0351,-0.32466,12.2698,191.1036,-0.279407960558957,50.4568775105277,12869.756736131
8.772,0.0794,2.067345,10.6645,191.2034,0.189942631552835,50.451166321827,12920.2079024528
8.815,-0.2414,1.137255,9.6003,191.2895,0.379405105242268,50.6349176068158,12970.8428200596
8.858,-0.026,-1.328985,10.613,191.3645,0.037727084193814,50.4769908707562,13021.3198109304
8.901,0.0339,2.39799,7.2539,191.4121,0.509779667355051,50.7911167178577,13072.1109276482
8.944,0.8,-0.871395,7.9411,191.4367,0.233544733884041,50.8290076314883,13122.9399352797
8.987,0.7617,0.91728,8.4415,191.4118,0.370291787107233,51.0036455983421,13173.9435808781
9.03,0.4541,0.27867,9.611,191.3613,0.351967429685786,51.1599592077744,13225.1035400858
9.073,0.2949,0.411915,9.7307,191.297,0.363956943748629,51.3282623312695,13276.4318024171
9.116,0.4996,0.692265,10.7495,191.2035,0.429618554998903,51.562227066015,13327.9940294831
9.159,0.0842,1.711605,10.5831,191.0804,0.686015843999123,52.0525890897606,13380.0466185729
9.202,0.0495,1.127175,11.105,190.9427,0.774247675199298,52.6311829447064,13432.6778015176
9.245,-0.1708,1.025325,11.2918,190.7953,0.824463140159439,53.2599922646124,13485.9377937822
9.288,-0.0906,2.18421,9.799,190.6399,1.09641251212755,54.1607509564865,13540.0985447387
9.331,0.0219,1.049265,8.6102,190.4899,1.08698300970204,55.052080145935,13595.1506248846
9.374,0.7426,0.159285,9.4985,190.3495,0.901443407761633,55.7578697334432,13650.9084946181
9.417,0.077,2.73987,8.6629,190.1852,1.26912872620931,56.831344639399,13707.7398392575
9.46,0.5283,0.673365,8.3182,190.0451,1.14997598096745,57.785666800113,13765.5255060576
9.503,0.6911,0.46473,9.6134,189.9115,1.01292678477396,58.6029397646334,13824.1284458222
9.546,0.2709,0.10773,10.771,189.7877,0.831887427819165,59.2391733721991,13883.3676191944
9.589,0.1524,2.36775,8.8999,189.6358,1.13905994225533,60.182579494201,13943.5501986886
9.632,0.3906,-0.454125,9.9797,189.5211,0.820422953804266,60.8073486277518,14004.3575473164
9.675,-0.1074,-0.2982,12.1597,189.4132,0.596698363043412,61.2083931705417,14065.5659404869
9.718,-0.1026,3.13698,10.601,189.2794,1.10475469043473,62.117494040723,14127.6834345276
9.761,0.0207,-0.32718,10.0121,189.185,0.818367752347784,62.7402079728173,14190.4236425005
