time,ax,ay,az,yaw ,acc,velo,dis
38.27,0.1503,0.71489,12.8818,192.3129,1.12088477013665,47.2523278610293,80456.9207087939
38.313,-0.6123,0.70961,5.6872,192.4362,1.03862981610932,47.1154267411179,80504.036135535
38.356,0.1072,4.72846,7.7067,192.5516,1.77659585288746,47.7164916579846,80551.752627193
38.399,-0.3692,-5.43598,13.0446,192.6552,0.334080682309964,46.8750414042739,80598.6276685973
38.442,0.0426,7.42665,9.3575,192.748,1.75259454584797,47.4521050141012,80646.0797736114
38.485,-0.5153,-1.37489,8.8643,192.8525,1.12709763667838,47.4036717147589,80693.4834453261
38.528,-0.2615,-1.09439,15.7117,192.9564,0.682800109342702,46.9109408880809,80740.3943862142
38.571,0.3418,0.51337,14.6211,193.1171,0.648914087474162,46.3843240395343,80786.7787102537
38.614,-0.4459,2.49524,8.6524,193.3156,1.01817926997933,46.2269723734929,80833.0056826272
38.657,0.5058,0.10516,8.3819,193.5192,0.835575415983464,45.8870168534557,80878.8926994807
38.7,0.3047,3.68687,8.1077,193.7651,1.40583433278677,46.1173202502218,80925.0100197309
38.743,-0.2016,-0.45705,7.7438,194.0026,1.03325746622942,45.9750467804305,80970.9850665113
38.786,-0.1131,2.14357,5.862,194.2662,1.25531997298353,46.0548358173933,81017.0399023287
38.829,-0.1813,4.51781,4.9438,194.4723,1.90781797838683,46.7871228597595,81063.8270251885
38.872,0.0892,-0.35046,11.1807,194.6158,1.45616238270946,47.0677543064482,81110.8947794949
38.915,-0.0508,1.023,14.5385,194.7047,1.36952990616757,47.2617532765951,81158.1565327715
38.958,0.2963,2.73482,12.4664,194.7236,1.64258792493406,47.7288102655085,81205.8853430371
39.001,0.1587,1.16127,9.2043,194.6928,1.54632433994724,48.099603669435,81253.9849467065
39.044,0.9512,1.37456,9.8184,194.5889,1.5119714719578,48.4360442053721,81302.4209909119
39.087,0.5453,3.59073,7.3308,194.4223,1.92772317756624,49.1882364469176,81351.6092273588
39.13,0.1587,2.21078,6.9884,194.2161,1.98433454205299,49.9970400529499,81401.6062674117
39.173,0.0701,0.14333,11.3004,193.9941,1.61613363364239,50.4376427505716,81452.0439101623
39.216,0.258,3.04953,10.46,193.7677,1.90281290691391,51.1649247214648,81503.2088348838
39.259,0.4244,0.90453,9.3599,193.5364,1.70315632553113,51.6925501109753,81554.9013849948
39.302,0.1156,1.0901,11.6631,193.3233,1.58054506042491,52.0975642353795,81606.9989492301
39.345,-0.0017,2.03302,11.031,193.4898,1.67104004833992,52.5930733476987,81659.5920225779
39.388,0.1156,1.93424,7.4373,193.3058,1.72368003867194,53.1412224503499,81712.7332450282
39.431,0.0797,1.38248,7.077,193.1605,1.65544003093755,53.6211315452668,81766.3543765734
39.474,0.2461,1.84602,9.0762,193.0613,1.69355602475004,54.1391566339961,81820.4935332075
39.517,0.3478,2.47148,9.561,193.0121,1.84914081980003,54.8127665177755,81875.3062997252
39.56,0.2485,-0.14894,9.7944,192.9991,1.44952465584003,55.0867602375948,81930.3930599628
39.603,0.3574,3.55124,8.6416,193.0296,1.86986772467202,55.7810970262461,81986.1741569891
39.646,0.2688,1.06249,8.9002,193.1248,1.70839217973762,56.313958269963,82042.488115259
39.689,0.349,2.57158,9.47,193.2655,1.88102974379009,57.0194570777324,82099.5075723368
39.732,0.1802,-0.93511,9.5191,193.444,1.31780179503208,57.1617279367438,82156.6693002735
39.775,0.2257,8.31149,5.0743,193.6555,2.71653943602566,58.7027364367488,82215.3720367103
39.818,-0.3429,0.9427,8.9373,193.9187,2.36177154882053,59.8889770495486,82275.2610137598
39.861,-0.3573,-0.49137,17.967,194.231,1.79114323905642,60.5045893525843,82335.7656031124
39.904,0.5932,2.24631,16.5928,194.5745,1.88217659124514,61.2112350078088,82396.9768381202
39.947,-0.1669,1.4575,9.2282,194.916,1.79724127299611,61.8329453447842,82458.809783465
39.99,0.4568,1.40613,7.5475,195.2801,1.71901901839689,62.3764334271604,82521.1862168922
40.033,0.1647,2.486,8.753,195.6577,1.87241521471751,63.0733177058572,82584.259534598
40.076,0.0306,1.24685,7.9413,196.0472,1.74730217177401,63.6450889416105,82647.9046235396
40.119,0.094,2.95075,7.7498,196.4114,1.98799173741921,64.457549743009,82712.3621732826
40.162,-0.325,-0.65065,10.4756,196.7793,1.46026338993537,64.7422821969236,82777.1044554796
40.205,-0.0317,2.96131,9.0917,197.1157,1.76047271194829,65.3272239728512,82842.4316794524
40.248,0.0186,0.41063,8.3352,197.4253,1.49050416955863,65.6421972063892,82908.0738766588
40.291,-0.0999,0.51601,11.7649,197.6979,1.29560533564691,65.7622716060154,82973.8361482648
40.334,-0.1849,0.96107,12.1731,197.9453,1.22869826851753,65.8154389385122,83039.6515872033
40.377,-0.076,0.01034,10.8575,198.1622,0.985026614814021,65.6249346173055,83105.2765218206
40.42,-0.0233,-0.54791,10.6144,198.3553,0.678439291851217,65.127842973136,83170.4043647938
40.463,0.1084,1.30086,8.9002,198.5307,0.802923433480974,64.7552354705963,83235.1596002644
40.506,0.0174,-1.37885,8.9996,198.6995,0.366568746784779,63.9462732813604,83299.1058735457
